gracias, thankful
hola, greeting
adios, farewell
tonto, hate
buenas noches, farewell
hasta mañana, thankful
buenos días, greeting
ayuda, help
hello, greeting
necesito ayuda, help
hola como estas, howAreYou
me aburro, isBored
buenos dias, greeting
buenas tardes, greeting
buenas, greeting
hola!, greeting
muchas gracias, thankful
muy amable, thankful
gracias!, thankful
hi, greeting
que tal, howAreYou
cancelar, unsuscribeDailyHoroscope
buenas noches!, greeting
como te llamas, about
help, help
hoy, getHoroscope
chau, farewell
como estás?, howAreYou
cuentame un chiste, isBored
ok, thankful
bueno, greeting
t, love
chiste, isBored
como te llamas?, about
fuck you, hate
bitch, hate
nada, thankful
bien, thankful
polla, hate
quien eres?, about
vete a la verga, hate
lo siento, sorry
ayudame, help
quiero, getHoroscope
holi, greeting
como estas, howAreYou
chinga tu madre, hate
chao, farewell
como estas?, howAreYou
puto, hate
ola, greeting
como estas ?, howAreYou
como te va ?, howAreYou
alo, greeting
halo, greeting
hola buenas tardes, greeting
hola buenas noches, greeting
¿cómo estás?, howAreYou
salir, unsuscribeDailyHoroscope
quien eres, about
bye, greeting
dinero, getHoroscope
que hace, howAreYou
hola?, greeting
cómo estás?, howAreYou
:), laugh
puta, hate
como te llams, about
donde vives, about
idiota, hate
cual es tu nombre, about
mierda, hate
tu me quieres?, love
eres un robot?, about
me quieres?, love
holaa, greeting
?, about
no gracias, thankful
oi, greeting
como esta?, howAreYou
adiós, farewell
help me, help
caca, hate
y para mañana?, subscribeDailyHoroscope
0, greeting
perra, hate
hols, greeting
oola, greeting
k haces, greeting
grax, thankful
te odio, hate
como te sientes?, howAreYou
muchas gracias., thankful
helo, greeting
amor, getHoroscope
odio, hate
english, changeLanguage
change language, changeLanguage
bien gracias, thankful
que tienes para hoy?, getHoroscope
8, getHoroscope
cambiar idioma, changeLanguage
english please, changeLanguage
acerca de, about
buenas!, greeting
ok gracias, thankful
❤️, love
que hay, getHoroscope
que hay de nuevo, getHoroscope
no te entiendo, hate
holaaaaa, greeting
que bien, thankful
tardes, farewell
estoy aburrido, isBored
hooa, greeting
..., greeting
estas ahi?, howAreYou
okey, thankful
besos, love
eres hombre o mujer, about
como has estado, howAreYou
cómo te va, howAreYou
:like:, hate
dime tu nombre, about
cómo te llamas, about
para el lunes, getHoroscope
estoy feliz, thankful
lol, laugh
contame un chiste, isBored
español, changeLanguage
😂😂, laugh
😊, laugh
☺, greeting
hazme reir, isBored
quiero saber mi horoscopo, getHoroscope
que dice mi horoscopo, getHoroscope
idioma, changeLanguage
jajaja, laugh
como te encuentras?, howAreYou
te quiero, love
cómo te llamas ?, about
qué eres ?, about
jajajaja, laugh
donde estas, about
quien es tu creador, about
gracias., thankful
gracias!!, thankful
chupala, hate
para hoy, getHoroscope
👍, thankful
🙂, thankful
:d, laugh
😃, laugh
que dice?, getHoroscope
te amo, love
eres basura, about
te amo 😍, love
😍, love
me caes mal, getHoroscope
:v, love
¿como estas?, howAreYou
jeje, laugh
jajaj, laugh
estudios, hate
pendejos, hate
grasias, thankful
ok grasias, thankful
de donde es, about
quien es?, about
ok muchas gracias, thankful
de donde eres, about
oki, farewell
salud, getHoroscope
eres humano?, about
estoy aburrida, isBored
cual es mi horoscopo, getHoroscope
hola qué hace, greeting
quiero un chiste, isBored
acerca, about
¿qué haces?, howAreYou
cual es horoscopo para escorpio?, getHoroscope
horoscopo para escorpio, getHoroscope
horoscopo de escorpio, getHoroscope
cual es mi horoscopo para hoy?, getHoroscope
cual es el horoscopo de aries para hoy?, getHoroscope
quiero mi horoscopo, getHoroscope
cual es la fortuna para tauro, getHoroscope
decime mi horoscopo, getHoroscope
dame el horoscopo, getHoroscope
quiero saber que me va a pasar hoy, getHoroscope
que me va a a pasar el 17 de agosto?, getHoroscope
cual es el horoscopo para aries, getHoroscope
quiero mi signo, getHoroscope
cual es el horoscopo para aires, getHoroscope
horoscopo para aires, getHoroscope
horoscopo de cancer, getHoroscope
horoscopo para aries, getHoroscope
cual es el horoscopo de aries, getHoroscope
cual es el horoscopo de aries user, getHoroscope
cual es el horoscopo para piscis, getHoroscope
cual es el horoscopo de aires, getHoroscope
cual es horoscopo de aires, getHoroscope
quiero el horoscpo de picis, getHoroscope
horoscopo para capricornio, getHoroscope
y el horoscopo de cancer?, getHoroscope
quiero el horoscpo de libra, getHoroscope
